,day_of_year,sin_year,cos_year
0,1,0.017213356155834685,0.017213356155834685
1,2,0.03442161162274574,0.03442161162274574
2,3,0.051619667223253764,0.051619667223253764
3,4,0.06880242680231986,0.06880242680231986
4,5,0.08596479873744647,0.08596479873744647
5,6,0.10310169744743485,0.10310169744743485
6,7,0.1202080448993527,0.1202080448993527
7,8,0.13727877211326478,0.13727877211326478
8,9,0.15430882066428114,0.15430882066428114
9,10,0.1712931441814776,0.1712931441814776
10,11,0.18822670984324422,0.18822670984324422
11,12,0.2051044998686192,0.2051044998686192
12,13,0.2219215130041655,0.2219215130041655
13,14,0.2386727660059501,0.2386727660059501
14,15,0.255353295116187,0.255353295116187
15,16,0.2719581575341055,0.2719581575341055
16,17,0.288482432880609,0.288482432880609
17,18,0.304921224656289,0.304921224656289
18,19,0.3212696616923644,0.3212696616923644
19,20,0.3375228995941133,0.3375228995941133
20,21,0.35367612217637157,0.35367612217637157
21,22,0.36972454289067314,0.36972454289067314
22,23,0.3856634062436071,0.3856634062436071
23,24,0.401487989205973,0.401487989205973
24,25,0.4171936026123168,0.4171936026123168
25,26,0.4327755925504312,0.4327755925504312
26,27,0.4482293417404106,0.4482293417404106
27,28,0.4635502709028509,0.4635502709028509
28,29,0.47873384011578846,0.47873384011578846
29,30,0.49377555015997715,0.49377555015997715
30,31,0.5086709438521044,0.5086709438521044
31,32,0.5234156073655503,0.5234156073655503
32,33,0.5380051715382996,0.5380051715382996
33,34,0.5524353131676196,0.5524353131676196
34,35,0.5667017562911175,0.5667017562911175
35,36,0.5808002734538008,0.5808002734538008
36,37,0.5947266869607633,0.5947266869607633
37,38,0.6084768701151261,0.6084768701151261
38,39,0.6220467484408675,0.6220467484408675
39,40,0.6354323008901774,0.6354323008901774
40,41,0.6486295610349815,0.6486295610349815
41,42,0.6616346182422783,0.6616346182422783
42,43,0.6744436188329455,0.6744436188329455
43,44,0.687052767223667,0.687052767223667
44,45,0.699458327051647,0.699458327051647
45,46,0.7116566222817747,0.7116566222817747
46,47,0.7236440382959124,0.7236440382959124
47,48,0.7354170229639855,0.7354170229639855
48,49,0.7469720876965552,0.7469720876965552
49,50,0.7583058084785624,0.7583058084785624
50,51,0.7694148268839378,0.7694148268839378
51,52,0.7802958510707755,0.7802958510707755
52,53,0.7909456567567772,0.7909456567567772
53,54,0.8013610881746766,0.8013610881746766
54,55,0.811539059007361,0.811539059007361
55,56,0.8214765533024142,0.8214765533024142
56,57,0.831170626365808,0.831170626365808
57,58,0.8406184056344782,0.8406184056344782
58,59,0.8498170915275278,0.8498170915275278
59,60,0.8587639582758029,0.8587639582758029
60,61,0.8674563547295969,0.8674563547295969
61,62,0.8758917051442429,0.8758917051442429
62,63,0.8840675099433636,0.8840675099433636
63,64,0.8919813464595485,0.8919813464595485
64,65,0.8996308696522433,0.8996308696522433
65,66,0.9070138128026359,0.9070138128026359
66,67,0.9141279881853337,0.9141279881853337
67,68,0.9209712877166346,0.9209712877166346
68,69,0.9275416835791966,0.9275416835791966
69,70,0.9338372288229251,0.9338372288229251
70,71,0.9398560579418954,0.9398560579418954
71,72,0.9455963874271425,0.9455963874271425
72,73,0.9510565162951535,0.9510565162951535
73,74,0.9562348265919056,0.9562348265919056
74,75,0.9611297838723007,0.9611297838723007
75,76,0.9657399376548549,0.9657399376548549
76,77,0.970063921851507,0.970063921851507
77,78,0.9741004551724205,0.9741004551724205
78,79,0.9778483415056568,0.9778483415056568
79,80,0.9813064702716093,0.9813064702716093
80,81,0.9844738167520922,0.9844738167520922
81,82,0.9873494423939864,0.9873494423939864
82,83,0.989932495087353,0.989932495087353
83,84,0.9922222094179323,0.9922222094179323
84,85,0.994217906893952,0.994217906893952
85,86,0.995918996147179,0.995918996147179
86,87,0.9973249731081555,0.9973249731081555
87,88,0.9984354211555643,0.9984354211555643
88,89,0.9992500112396835,0.9992500112396835
89,90,0.9997685019798909,0.9997685019798909
90,91,0.9999907397361901,0.9999907397361901
91,92,0.9999166586547379,0.9999166586547379
92,93,0.9995462806873573,0.9995462806873573
93,94,0.9988797155850336,0.9988797155850336
94,95,0.9979171608653922,0.9979171608653922
95,96,0.9966589017541702,0.9966589017541702
96,97,0.9951053111006976,0.9951053111006976
97,98,0.9932568492674143,0.9932568492674143
98,99,0.9911140639934547,0.9911140639934547
99,100,0.9886775902323405,0.9886775902323405
100,101,0.9859481499638304,0.9859481499638304
101,102,0.9829265519799822,0.9829265519799822
102,103,0.9796136916454901,0.9796136916454901
103,104,0.9760105506323683,0.9760105506323683
104,105,0.9721181966290613,0.9721181966290613
105,106,0.9679377830240643,0.9679377830240643
106,107,0.9634705485641488,0.9634705485641488
107,108,0.9587178169872964,0.9587178169872964
108,109,0.9536809966304456,0.9536809966304456
109,110,0.9483615800121716,0.9483615800121716
110,111,0.9427611433904207,0.9427611433904207
111,112,0.9368813462954315,0.9368813462954315
112,113,0.9307239310379793,0.9307239310379793
113,114,0.9242907221930933,0.9242907221930933
114,115,0.9175836260593938,0.9175836260593938
115,116,0.9106046300942162,0.9106046300942162
116,117,0.9033558023246845,0.9033558023246845
117,118,0.895839290734909,0.895839290734909
118,119,0.8880573226294932,0.8880573226294932
119,120,0.8800122039735357,0.8800122039735357
120,121,0.8717063187093218,0.8717063187093218
121,122,0.8631421280499114,0.8631421280499114
122,123,0.854322169749827,0.854322169749827
123,124,0.8452490573530633,0.8452490573530633
124,125,0.8359254794186372,0.8359254794186372
125,126,0.8263541987239096,0.8263541987239096
126,127,0.8165380514459161,0.8165380514459161
