,day_of_year,sin_year,cos_year
0,1,0.017213356155834685,0.9998518392091162
1,2,0.03442161162274574,0.9994074007397048
2,3,0.051619667223253764,0.998666816288476
3,4,0.06880242680231986,0.9976303053065857
4,5,0.08596479873744647,0.9962981749346078
5,6,0.10310169744743485,0.9946708199115211
6,7,0.1202080448993527,0.9927487224577402
7,8,0.13727877211326478,0.9905324521322229
8,9,0.15430882066428114,0.9880226656636976
9,10,0.1712931441814776,0.9852201067560606
10,11,0.18822670984324422,0.9821256058680006
11,12,0.2051044998686192,0.9787400799669153
12,13,0.2219215130041655,0.9750645322571948
13,14,0.2386727660059501,0.9711000518829505
14,15,0.255353295116187,0.9668478136052775
15,16,0.2719581575341055,0.9623090774541486
16,17,0.288482432880609,0.9574851883550393
17,18,0.304921224656289,0.9523775757303975
18,19,0.3212696616923644,0.9469877530760753
19,20,0.3375228995941133,0.9413173175128471
20,21,0.35367612217637157,0.9353679493131483
21,22,0.36972454289067314,0.9291414114031743
22,23,0.3856634062436071,0.9226395488404876
23,24,0.401487989205973,0.9158642882672872
24,25,0.4171936026123168,0.9088176373395029
25,26,0.4327755925504312,0.901501684131884
26,27,0.4482293417404106,0.893918596519257
27,28,0.4635502709028509,0.886070621534138
28,29,0.47873384011578846,0.8779600847008882
29,30,0.49377555015997715,0.869589389346611
30,31,0.5086709438521044,0.8609610158889943
31,32,0.5234156073655503,0.8520775211013093
32,33,0.5380051715382996,0.8429415373547828
33,34,0.5524353131676196,0.8335557718385699
34,35,0.5667017562911175,0.8239230057575543
35,36,0.5808002734538008,0.8140460935082179
36,37,0.5947266869607633,0.8039279618328213
37,38,0.6084768701151261,0.7935716089521474
38,39,0.6220467484408675,0.7829801036770629
39,40,0.6354323008901774,0.7721565844991642
40,41,0.6486295610349815,0.7611042586607746
41,42,0.6616346182422783,0.7498264012045687
42,43,0.6744436188329455,0.7383263540031065
43,44,0.687052767223667,0.7266075247685656
44,45,0.699458327051647,0.7146733860429609
45,46,0.7116566222817747,0.702527474169157
46,47,0.7236440382959124,0.6901733882429719
47,48,0.7354170229639855,0.6776147890466889
48,49,0.7469720876965552,0.6648553979642865
49,50,0.7583058084785624,0.6518989958787126
50,51,0.7694148268839378,0.6387494220515272
51,52,0.7802958510707755,0.6254105729852463
52,53,0.7909456567567772,0.6118864012687244
53,54,0.8013610881746766,0.5981809144059164
54,55,0.811539059007361,0.5842981736283684
55,56,0.8214765533024142,0.5702422926917871
56,57,0.831170626365808,0.5560174366570445
57,58,0.8406184056344782,0.5416278206559814
58,59,0.8498170915275278,0.5270777086423722
59,60,0.8587639582758029,0.5123714121284237
60,61,0.8674563547295969,0.49751328890718066
61,62,0.8758917051442429,0.48250774176121847
62,63,0.8840675099433636,0.4673592171580022
63,64,0.8919813464595485,0.45207220393230435
64,65,0.8996308696522433,0.43665123195606403
65,66,0.9070138128026359,0.4211008707960896
66,67,0.9141279881853337,0.40542572835999735
67,68,0.9209712877166346,0.38963044953078796
68,69,0.9275416835791966,0.37371971479046906
69,70,0.9338372288229251,0.3576982388331257
70,71,0.9398560579418954,0.3415707691678556
71,72,0.9455963874271425,0.32534208471198034
72,73,0.9510565162951535,0.30901699437494745
73,74,0.9562348265919056,0.2926003356333486
74,75,0.9611297838723007,0.27609697309746906
75,76,0.9657399376548549,0.2595117970697999
76,77,0.970063921851507,0.24284972209593583
77,78,0.9741004551724205,0.22611568550828828
78,79,0.9778483415056568,0.2093146459630487
79,80,0.9813064702716093,0.19245158197082998
80,81,0.9844738167520922,0.1755314904214282
81,82,0.9873494423939864,0.15855938510313455
82,83,0.989932495087353,0.14154029521704323
83,84,0.9922222094179323,0.12447926388678937
84,85,0.994217906893952,0.10738134666416309
85,86,0.995918996147179,0.09025161003104117
86,87,0.9973249731081555,0.07309512989807755
87,88,0.9984354211555643,0.05591699010060326
88,89,0.9992500112396835,0.03872228089217446
89,90,0.9997685019798909,0.021516097436222254
90,91,0.9999907397361901,0.004303538296244289
91,92,0.9999166586547379,-0.012910296075009042
92,93,0.9995462806873573,-0.030120304846908114
93,94,0.9988797155850336,-0.04732138832243185
94,95,0.9979171608653922,-0.06450844944931623
95,96,0.9966589017541702,-0.08167639533042241
96,97,0.9951053111006976,-0.09882013873287143
97,98,0.9932568492674143,-0.11593459959550041
98,99,0.9911140639934547,-0.1330147065341959
99,100,0.9886775902323405,-0.1500553983446526
100,101,0.9859481499638304,-0.16705162550211902
101,102,0.9829265519799822,-0.18399835165768005
102,103,0.9796136916454901,-0.20089055513063525
103,104,0.9760105506323683,-0.21772323039653177
104,105,0.9721181966290613,-0.23449138957040963
105,106,0.9679377830240643,-0.2511900638848191
106,107,0.9634705485641488,-0.2678143051621742
107,108,0.9587178169872964,-0.2843591872810036
108,109,0.9536809966304456,-0.30081980763566757
109,110,0.9483615800121716,-0.3171912885891059
110,111,0.9427611433904207,-0.3334687789181868
111,112,0.9368813462954315,-0.3496474552512284
112,113,0.9307239310379793,-0.3657225234972692
113,114,0.9242907221930933,-0.38168922026665897
114,115,0.9175836260593938,-0.3975428142825558
115,116,0.9106046300942162,-0.4132786077829042
116,117,0.9033558023246845,-0.4288919379124835
117,118,0.895839290734909,-0.4443781781046132
118,119,0.8880573226294932,-0.45973273945210397
119,120,0.8800122039735357,-0.47495107206704995
120,121,0.8717063187093218,-0.4900286664290592
121,122,0.8631421280499114,-0.5049610547215204
122,123,0.854322169749827,-0.5197438121555155
123,124,0.8452490573530633,-0.5343725582809786
124,125,0.8359254794186372,-0.548842958284719
125,126,0.8263541987239096,-0.5631507242749186
126,127,0.8165380514459161,-0.5772916165517272
127,128,0.8064799463209448,-0.5912614448635781
128,129,0.7961828637826158,-0.6050560696488488
129,130,0.7856498550787147,-0.6186714032625031
130,131,0.7748840413670407,-0.6321034111873487
131,132,0.7638886127905428,-0.6453481132295501
132,133,0.7526668275320085,-0.6584015846980488
133,134,0.7412220108485958,-0.6712599575675313
134,135,0.7295575540864878,-0.6839194216246103
135,136,0.717676913675962,-0.6963762255968722
136,137,0.705583610107178,-0.7086266782644596
137,138,0.6932812268869777,-0.7206671495538609
138,139,0.6807734094770165,-0.7324940716135786
139,140,0.6680638642135338,-0.7441039398713604
140,141,0.6551563572090853,-0.7554933140726803
141,142,0.6420547132365637,-0.766658819300159
142,143,0.6287628145958347,-0.7775971469736267
143,144,0.615284599963328,-0.7883050558305252
144,145,0.6016240632249229,-0.7987793728863647
145,146,0.5877852522924732,-0.8090169943749473
146,147,0.5737722679043249,-0.8190148866680798
147,148,0.5595892624101769,-0.8287700871745035
148,149,0.5452404385406513,-0.8382797052177741
149,150,0.5307300481619337,-0.8475409228928309
150,151,0.5160623910158528,-0.8565509959010036
151,152,0.5012418134457758,-0.865307254363206
152,153,0.4862727071086904,-0.8738071036110806
153,154,0.47115950767386416,-0.8820480249558534
154,155,0.4559066935084588,-0.8900275764346767
155,156,0.440518784350495,-0.8977433935342337
156,157,0.42500033996955416,-0.9051931898913974
157,158,0.40935595881562176,-0.9123747579707272
158,159,0.3935902766564671,-0.9192859697186103
159,160,0.3777079652039649,-0.9259247771938498
160,161,0.36171373072976765,-0.9322892131745133
161,162,0.3456123126707335,-0.9383773917408641
162,163,0.3294084822245304,-0.9441875088341993
163,164,0.3131070409358265,-0.9497178427914318
164,165,0.2967128192734903,-0.9549667548552552
165,166,0.2802306751992163,-0.9599326896597445
166,167,0.2636654927280075,-0.9646141756912434
167,168,0.24702218048093594,-0.9690098257244061
168,169,0.23030567023061221,-0.9731183372332619
169,170,0.21352091543979612,-0.9769384927771817
170,171,0.19667288979357647,-0.980469160361632
171,172,0.1797665857255624,-0.9837092937736097
172,173,0.16280701293851715,-0.986657932891657
173,174,0.14579919691987467,-0.9893142039703663
174,175,0.12874817745258088,-0.99167731989929
175,176,0.11165900712169467,-0.993746580436178
176,177,0.09453674981719956,-0.9955213724144752
177,178,0.07738647923346301,-0.9970011699250151
178,179,0.06021327736579302,-0.9981855344718586
179,180,0.04302223300453059,-0.99907411510223
180,181,0.02581844022713308,-0.9996666485105112
181,182,0.008606996888688698,-0.9999629591162655
182,183,-0.008606996888688453,-0.9999629591162655
183,184,-0.025818440227132835,-0.9996666485105112
184,185,-0.04302223300453034,-0.99907411510223
185,186,-0.060213277365792774,-0.9981855344718586
186,187,-0.07738647923346277,-0.9970011699250151
187,188,-0.09453674981719933,-0.9955213724144752
188,189,-0.11165900712169444,-0.9937465804361781
189,190,-0.12874817745258066,-0.99167731989929
190,191,-0.14579919691987442,-0.9893142039703664
191,192,-0.16280701293851646,-0.9866579328916572
192,193,-0.17976658572556214,-0.9837092937736098
193,194,-0.19667288979357622,-0.9804691603616321
194,195,-0.2135209154397959,-0.9769384927771817
195,196,-0.23030567023061196,-0.973118337233262
196,197,-0.24702218048093572,-0.9690098257244062
197,198,-0.2636654927280072,-0.9646141756912435
198,199,-0.2802306751992161,-0.9599326896597445
199,200,-0.2967128192734901,-0.9549667548552553
200,201,-0.31310704093582625,-0.9497178427914318
201,202,-0.3294084822245298,-0.9441875088341996
202,203,-0.3456123126707333,-0.9383773917408642
203,204,-0.3617137307297674,-0.9322892131745134
204,205,-0.37770796520396466,-0.9259247771938499
205,206,-0.3935902766564669,-0.9192859697186104
206,207,-0.40935595881562153,-0.9123747579707273
207,208,-0.42500033996955394,-0.9051931898913975
208,209,-0.4405187843504948,-0.8977433935342338
209,210,-0.4559066935084586,-0.8900275764346768
210,211,-0.47115950767386355,-0.8820480249558538
211,212,-0.4862727071086898,-0.8738071036110809
212,213,-0.5012418134457756,-0.8653072543632061
213,214,-0.5160623910158526,-0.8565509959010037
214,215,-0.5307300481619335,-0.847540922892831
215,216,-0.5452404385406511,-0.8382797052177743
